"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month"
"1",1.3592,34.8179,330,1,1,2002-02-01,"0808","Terra","MODIS",74,6.2,314.1,13.1,"D",0,2002,2
"2",0.7484,35.1519,323.1,1,1,2002-02-01,"0808","Terra","MODIS",64,6.2,309.3,9.3,"D",0,2002,2
"3",1.1116,34.8122,328,1,1,2002-02-01,"0808","Terra","MODIS",76,6.2,312.5,12.2,"D",0,2002,2
"4",0.7236,35.2588,326,1,1,2002-02-01,"0808","Terra","MODIS",70,6.2,306.2,13.3,"D",0,2002,2
"5",1.1946,34.996,323.5,1,1,2002-02-01,"0808","Terra","MODIS",42,6.2,310.7,6.4,"D",0,2002,2
"6",0.7004,35.2922,320.5,1,1,2002-02-01,"0808","Terra","MODIS",53,6.2,307.5,7.4,"D",0,2002,2
"7",1.0925,34.9435,340.4,1.5,1.2,2002-02-03,"0756","Terra","MODIS",88,6.2,309,55.7,"D",0,2002,2
"8",-0.9949,34.6894,335.5,1.5,1.2,2002-02-03,"0756","Terra","MODIS",85,6.2,301.7,52,"D",0,2002,2
"9",-0.0204,37.432,330.1,1.1,1,2002-02-03,"0756","Terra","MODIS",66,6.2,307.9,19.5,"D",0,2002,2
"10",0.9047,35.1521,326.8,1.4,1.2,2002-02-03,"0756","Terra","MODIS",72,6.2,307.4,22.5,"D",0,2002,2
"11",-0.3641,35.7425,315.1,1.3,1.1,2002-02-03,"0756","Terra","MODIS",28,6.2,297.8,14,"D",0,2002,2
"12",-2.3015,40.5708,321.6,1.1,1.1,2002-02-03,"0756","Terra","MODIS",28,6.2,303.4,9.2,"D",0,2002,2
"13",-0.0034,37.4437,324.8,1.1,1,2002-02-03,"0756","Terra","MODIS",44,6.2,303.9,16,"D",0,2002,2
"14",0.2187,34.0197,320.7,1.7,1.3,2002-02-03,"0756","Terra","MODIS",49,6.2,303.5,14.9,"D",0,2002,2
"15",0.7645,35.4413,322,1.4,1.2,2002-02-03,"0756","Terra","MODIS",58,6.2,303.3,14.9,"D",0,2002,2
"16",1.0905,34.957,324,1.5,1.2,2002-02-03,"0756","Terra","MODIS",67,6.2,308.8,14.9,"D",0,2002,2
"17",0.9007,35.1449,323.7,1.4,1.2,2002-02-03,"0756","Terra","MODIS",60,6.2,307.5,14.9,"D",0,2002,2
"18",-0.2022,36.0998,322.4,1.2,1.1,2002-02-03,"0756","Terra","MODIS",68,6.2,308.2,10.9,"D",0,2002,2
"19",-1.6632,41.0447,326.8,1.2,1.1,2002-02-03,"0756","Terra","MODIS",70,6.2,304.2,20.6,"D",0,2002,2
"20",-0.4171,35.5357,300.1,1.1,1.1,2002-02-03,"2017","Terra","MODIS",19,6.2,280.8,7.8,"N",0,2002,2
"21",0.0064,37.4507,300.9,1.5,1.2,2002-02-03,"2017","Terra","MODIS",35,6.2,276.2,14.7,"N",0,2002,2
"22",3.8784,34.0853,308.1,1.1,1,2002-02-03,"2018","Terra","MODIS",73,6.2,290.6,9.2,"N",0,2002,2
"23",1.146,34.8778,302.8,1.1,1,2002-02-03,"2018","Terra","MODIS",51,6.2,284.1,8.3,"N",0,2002,2
"24",1.1447,34.8683,306.5,1.1,1,2002-02-03,"2018","Terra","MODIS",68,6.2,283.5,10.7,"N",0,2002,2
"25",1.1385,34.875,308.4,1.1,1,2002-02-03,"2018","Terra","MODIS",74,6.2,285,11.4,"N",0,2002,2
"26",3.8798,34.0948,304,1.1,1,2002-02-03,"2018","Terra","MODIS",58,6.2,288.8,6.2,"N",0,2002,2
"27",-0.5659,35.5814,311.2,2.8,1.6,2002-02-04,"0839","Terra","MODIS",31,6.2,283.5,30.7,"D",0,2002,2
"28",-1.9388,36.5578,323.3,3.5,1.8,2002-02-04,"0839","Terra","MODIS",73,6.2,302.3,65.9,"D",0,2002,2
"29",2.0259,36.818,359.3,1.9,1.4,2002-02-05,"0743","Terra","MODIS",99,6.2,310.8,189.1,"D",0,2002,2
"30",2.0283,36.8013,325.9,1.9,1.4,2002-02-05,"0743","Terra","MODIS",55,6.2,308,29.6,"D",0,2002,2
"31",1.1407,34.8066,323.4,2.7,1.6,2002-02-05,"0743","Terra","MODIS",50,6.2,309.1,40.1,"D",0,2002,2
"32",-1.781,40.8466,322,1,1,2002-02-05,"0744","Terra","MODIS",48,6.2,301.7,9.9,"D",0,2002,2
"33",-0.91,34.5532,315.2,2.6,1.6,2002-02-05,"0744","Terra","MODIS",23,6.2,298.8,18,"D",0,2002,2
"34",-1.7887,40.8362,320.1,1,1,2002-02-05,"0744","Terra","MODIS",26,6.2,300.6,7.4,"D",0,2002,2
"35",-1.7498,40.8232,326.5,1,1,2002-02-05,"0744","Terra","MODIS",74,6.2,307.7,14,"D",0,2002,2
"36",-2.8283,38.0388,303.3,1,1,2002-02-05,"2004","Terra","MODIS",54,6.2,292.5,4.9,"N",0,2002,2
"37",-2.8363,38.0459,312.1,1,1,2002-02-05,"2004","Terra","MODIS",84,6.2,293.3,10.3,"N",0,2002,2
"38",1.7456,35.5097,313.8,1,1,2002-02-05,"2005","Terra","MODIS",87,6.2,294.5,10.5,"N",0,2002,2
"39",-0.425,35.7106,306.7,1,1,2002-02-05,"2005","Terra","MODIS",69,6.2,282.6,11.1,"N",0,2002,2
"40",0.3919,35.5017,304.2,1,1,2002-02-05,"2005","Terra","MODIS",59,6.2,284.4,8.7,"N",0,2002,2
"41",1.0924,34.6628,304.7,1.1,1,2002-02-05,"2005","Terra","MODIS",50,6.2,280.7,10.1,"N",0,2002,2
"42",0.3732,34.3317,311.8,1.1,1.1,2002-02-05,"2005","Terra","MODIS",83,6.2,290.2,13.5,"N",0,2002,2
"43",1.1017,34.6615,300.9,1.1,1,2002-02-05,"2005","Terra","MODIS",12,6.2,279.7,7.7,"N",0,2002,2
"44",1.088,34.6479,354.3,1.3,1.1,2002-02-06,"0826","Terra","MODIS",97,6.2,298.7,96.9,"D",0,2002,2
"45",1.0863,34.6597,334.1,1.3,1.1,2002-02-06,"0826","Terra","MODIS",82,6.2,302.6,43,"D",0,2002,2
"46",-0.0201,35.3062,313.9,1.5,1.2,2002-02-06,"0826","Terra","MODIS",45,6.2,301.4,7.1,"D",0,2002,2
