"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month"
"1",0.2004,36.5552,339.8,1.4,1.2,2020-03-01,"0748","Terra","MODIS",88,6.03,305.4,49.3,"D",0,2020,3
"2",0.1985,36.5678,344.2,1.4,1.2,2020-03-01,"0748","Terra","MODIS",91,6.03,307.3,61.7,"D",0,2020,3
"3",-2.4816,39.4972,330.5,1,1,2020-03-01,"0749","Terra","MODIS",82,6.03,299.6,16.8,"D",0,2020,3
"4",-2.9504,39.8621,320.5,1.4,1.2,2020-03-01,"1043","Aqua","MODIS",51,6.03,295.7,16.6,"D",0,2020,3
"5",-2.7383,39.8643,326.3,1.4,1.2,2020-03-01,"1043","Aqua","MODIS",74,6.03,287.5,29.7,"D",0,2020,3
"6",-1.8551,39.5418,321.7,1.4,1.2,2020-03-01,"1044","Aqua","MODIS",57,6.03,296.6,11.7,"D",0,2020,3
"7",-1.8447,39.5403,336.3,1.4,1.2,2020-03-01,"1044","Aqua","MODIS",86,6.03,299.6,40.8,"D",0,2020,3
"8",-1.7107,39.9034,323.1,1.3,1.1,2020-03-01,"1044","Aqua","MODIS",50,6.03,296.8,9.5,"D",0,2020,3
"9",4.1044,34.0883,304.1,1.5,1.2,2020-03-01,"2305","Aqua","MODIS",58,6.03,294,7.4,"N",0,2020,3
"10",1.2103,38.9587,319.2,2.1,1.4,2020-03-04,"0818","Terra","MODIS",35,6.03,296.5,33,"D",0,2020,3
"11",0.9606,38.5139,317.1,1.9,1.4,2020-03-04,"0818","Terra","MODIS",15,6.03,292.9,19,"D",0,2020,3
"12",-1.8941,39.8695,329.3,1.6,1.2,2020-03-04,"1114","Aqua","MODIS",33,6.03,303.4,25.9,"D",0,2020,3
"13",-1.835,39.4179,375.7,1.4,1.2,2020-03-04,"1114","Aqua","MODIS",87,6.03,297,209.2,"D",0,2020,3
"14",-1.8368,39.405,335,1.4,1.2,2020-03-04,"1114","Aqua","MODIS",83,6.03,303.9,36,"D",0,2020,3
"15",0.2125,36.9606,317.5,1.1,1,2020-03-04,"1115","Aqua","MODIS",60,6.03,285.8,9.4,"D",0,2020,3
"16",-1.7652,39.3635,322.1,1.1,1.1,2020-03-05,"1945","Terra","MODIS",100,6.03,295.5,20.4,"N",0,2020,3
"17",-1.7666,39.3535,338.8,1.1,1.1,2020-03-05,"1945","Terra","MODIS",100,6.03,296.4,46.5,"N",0,2020,3
"18",-1.7757,39.4264,326.3,1.1,1.1,2020-03-05,"1945","Terra","MODIS",100,6.03,295.7,26.1,"N",0,2020,3
"19",-1.836,39.3428,307.6,1.1,1.1,2020-03-05,"1945","Terra","MODIS",15,6.03,295.2,5.5,"N",0,2020,3
"20",-1.8078,39.4717,312.9,1.1,1.1,2020-03-05,"1945","Terra","MODIS",86,6.03,295.1,10.5,"N",0,2020,3
"21",-1.8155,39.3502,306,1.1,1.1,2020-03-05,"1945","Terra","MODIS",46,6.03,294.9,4.6,"N",0,2020,3
"22",-1.7747,39.3649,330.2,1.1,1.1,2020-03-05,"1945","Terra","MODIS",100,6.03,296.3,31.6,"N",0,2020,3
"23",-1.7761,39.3548,320.5,1.1,1.1,2020-03-05,"1945","Terra","MODIS",100,6.03,295.7,18.5,"N",0,2020,3
"24",0.1232,37.0417,320.6,1,1,2020-03-06,"0806","Terra","MODIS",61,6.03,304.6,7.1,"D",0,2020,3
"25",0.1218,37.0509,319.9,1,1,2020-03-06,"0806","Terra","MODIS",59,6.03,304.9,6.6,"D",0,2020,3
"26",-3.2533,39.7925,322.7,1.6,1.3,2020-03-06,"0807","Terra","MODIS",69,6.03,296.3,26,"D",0,2020,3
"27",-0.7491,36.4654,311.9,1,1,2020-03-06,"0807","Terra","MODIS",55,6.03,298.4,4.6,"D",0,2020,3
"28",-0.7825,36.4422,313.1,1,1,2020-03-06,"0807","Terra","MODIS",62,6.03,299.3,4.8,"D",2,2020,3
"29",-1.736,39.3718,322.5,1.5,1.2,2020-03-06,"0807","Terra","MODIS",25,6.03,301.5,8.4,"D",0,2020,3
"30",-1.7448,39.3573,332.6,1.5,1.2,2020-03-06,"0807","Terra","MODIS",82,6.03,303.1,27.9,"D",0,2020,3
"31",-1.7466,39.3703,356.6,1.5,1.2,2020-03-06,"0807","Terra","MODIS",98,6.03,304.9,106.7,"D",0,2020,3
"32",-1.7485,39.3833,328.8,1.5,1.2,2020-03-06,"0807","Terra","MODIS",71,6.03,301.9,19.2,"D",0,2020,3
"33",-1.7573,39.3688,347.7,1.5,1.2,2020-03-06,"0807","Terra","MODIS",93,6.03,305.7,70.2,"D",0,2020,3
"34",-1.807,39.4822,335.8,1.5,1.2,2020-03-06,"0807","Terra","MODIS",80,6.03,303.3,34.5,"D",0,2020,3
"35",-1.7989,39.4769,330.7,1.5,1.2,2020-03-06,"0807","Terra","MODIS",53,6.03,301.7,22,"D",0,2020,3
"36",-1.8115,39.4886,339.2,1.5,1.2,2020-03-06,"0807","Terra","MODIS",85,6.03,303,44.6,"D",0,2020,3
"37",-1.8204,39.4739,332.7,1.5,1.2,2020-03-06,"0807","Terra","MODIS",58,6.03,300.8,24.5,"D",0,2020,3
"38",-1.8312,39.4724,335.9,1.5,1.2,2020-03-06,"0807","Terra","MODIS",77,6.03,303.7,34.2,"D",0,2020,3
"39",-3.7895,39.7623,322.5,1,1,2020-03-06,"1102","Aqua","MODIS",47,6.03,303.5,7.4,"D",0,2020,3
"40",-2.1945,40.9057,331.8,1.1,1.1,2020-03-06,"1102","Aqua","MODIS",68,6.03,304.9,15.6,"D",0,2020,3
"41",-2.1309,40.8492,326.8,1.1,1.1,2020-03-06,"1102","Aqua","MODIS",46,6.03,301.7,10.5,"D",0,2020,3
"42",-1.8864,39.3568,355.3,1,1,2020-03-06,"1102","Aqua","MODIS",97,6.03,312,59.6,"D",0,2020,3
"43",-1.8426,39.4746,334.3,1,1,2020-03-06,"1102","Aqua","MODIS",46,6.03,306,15.7,"D",0,2020,3
"44",-1.8323,39.4824,339.5,1,1,2020-03-06,"1102","Aqua","MODIS",70,6.03,302.7,25.9,"D",0,2020,3
"45",-1.8232,39.4811,358.2,1,1,2020-03-06,"1102","Aqua","MODIS",86,6.03,306.9,65.6,"D",0,2020,3
"46",-1.8129,39.4889,340.2,1,1,2020-03-06,"1102","Aqua","MODIS",69,6.03,310.2,26.3,"D",0,2020,3
"47",-1.8155,39.4707,340.5,1,1,2020-03-06,"1102","Aqua","MODIS",76,6.03,300.7,30.3,"D",0,2020,3
"48",-1.8168,39.4616,335.2,1,1,2020-03-06,"1102","Aqua","MODIS",63,6.03,295.7,21.6,"D",0,2020,3
"49",-1.7644,39.3732,346.8,1,1,2020-03-06,"1102","Aqua","MODIS",63,6.03,309.2,39.4,"D",0,2020,3
"50",-2.0288,36.3558,323.2,1.1,1.1,2020-03-06,"1102","Aqua","MODIS",62,6.03,300.1,13,"D",0,2020,3
"51",0.8401,35.834,320.9,1.1,1.1,2020-03-06,"1103","Aqua","MODIS",59,6.03,300.1,11.1,"D",0,2020,3
"52",0.9284,35.804,317.2,1.1,1.1,2020-03-06,"1103","Aqua","MODIS",21,6.03,295.1,11.4,"D",0,2020,3
"53",0.7704,35.2265,321.7,1.4,1.2,2020-03-08,"0754","Terra","MODIS",74,6.03,299.2,13.3,"D",0,2020,3
"54",-1.8331,40.6506,320.2,1.1,1.1,2020-03-08,"0755","Terra","MODIS",67,6.03,297.8,11,"D",0,2020,3
"55",-1.8426,40.6492,325.7,1.1,1.1,2020-03-08,"0755","Terra","MODIS",77,6.03,297.7,18,"D",0,2020,3
"56",-1.894,40.8856,324.1,1,1,2020-03-08,"1050","Aqua","MODIS",41,6.03,302.3,10.7,"D",0,2020,3
"57",-2.7662,40.0006,315.7,1.1,1,2020-03-08,"1050","Aqua","MODIS",64,6.03,297.3,6.1,"D",0,2020,3
"58",-2.5639,40.3077,324.7,1.1,1,2020-03-08,"1050","Aqua","MODIS",51,6.03,302,7.9,"D",0,2020,3
"59",-2.1836,40.7223,326.8,1,1,2020-03-08,"1050","Aqua","MODIS",72,6.03,304.1,11.4,"D",0,2020,3
"60",-1.9519,40.9273,323.4,1,1,2020-03-08,"1050","Aqua","MODIS",69,6.03,301.6,10.8,"D",0,2020,3
"61",-1.8878,41.2482,322.8,1,1,2020-03-08,"1050","Aqua","MODIS",55,6.03,300.3,9,"D",0,2020,3
"62",-1.8823,41.0312,327.4,1,1,2020-03-08,"1050","Aqua","MODIS",57,6.03,301,12.5,"D",0,2020,3
"63",-1.8618,41.0466,324.1,1,1,2020-03-08,"1050","Aqua","MODIS",46,6.03,299.8,8.2,"D",0,2020,3
"64",-1.8271,41.0325,326.3,1,1,2020-03-08,"1050","Aqua","MODIS",65,6.03,299.8,12.9,"D",0,2020,3
"65",-1.8284,41.0235,325.5,1,1,2020-03-08,"1050","Aqua","MODIS",71,6.03,300,11.7,"D",0,2020,3
"66",-1.4174,39.8441,333,1.1,1,2020-03-08,"1050","Aqua","MODIS",12,6.03,308,18.5,"D",0,2020,3
"67",0.7047,35.4354,312.5,2,1.4,2020-03-08,"1051","Aqua","MODIS",51,6.03,282.8,17.7,"D",0,2020,3
"68",-1.8527,41.0314,321,1,1,2020-03-10,"0742","Terra","MODIS",58,6.03,297.9,8.3,"D",0,2020,3
"69",-2.8628,40.053,316.4,1.7,1.3,2020-03-10,"1037","Aqua","MODIS",58,6.03,283.3,20.1,"D",0,2020,3
"70",-3.0004,40.0632,321,1.7,1.3,2020-03-10,"1037","Aqua","MODIS",70,6.03,281.4,28.4,"D",0,2020,3
"71",-2.8659,40.0482,318.3,1.7,1.3,2020-03-10,"1037","Aqua","MODIS",69,6.03,282.7,25.3,"D",0,2020,3
"72",-2.1251,40.9896,325.8,1.4,1.2,2020-03-10,"1037","Aqua","MODIS",69,6.03,297,23.3,"D",0,2020,3
"73",-2.1614,40.7318,313.1,1.5,1.2,2020-03-10,"1037","Aqua","MODIS",44,6.03,289.1,8.8,"D",0,2020,3
"74",-1.4361,39.7032,320.2,1.7,1.3,2020-03-10,"1038","Aqua","MODIS",63,6.03,289.5,23.1,"D",0,2020,3
"75",2.3856,36.5387,326.4,2.6,1.6,2020-03-10,"1039","Aqua","MODIS",64,6.03,301.4,34.7,"D",0,2020,3
"76",-4.554,39.2838,315.3,1.1,1,2020-03-10,"2002","Terra","MODIS",91,6.03,293.7,12.8,"N",0,2020,3
"77",-4.5526,39.2936,307.3,1.1,1,2020-03-10,"2002","Terra","MODIS",71,6.03,293.6,6,"N",0,2020,3
"78",1.6093,38.2406,302.7,1.1,1.1,2020-03-10,"2004","Terra","MODIS",40,6.03,272.5,6.9,"N",0,2020,3
"79",1.6065,38.2206,313.7,1.1,1.1,2020-03-10,"2004","Terra","MODIS",88,6.03,274.8,14.7,"N",0,2020,3
"80",1.5999,38.2419,315.7,1.1,1.1,2020-03-10,"2004","Terra","MODIS",92,6.03,271,17,"N",0,2020,3
"81",1.5985,38.232,311.6,1.1,1.1,2020-03-10,"2004","Terra","MODIS",83,6.03,271.6,13,"N",0,2020,3
"82",1.6079,38.2306,355.2,1.1,1.1,2020-03-10,"2004","Terra","MODIS",100,6.03,274.7,88.2,"N",0,2020,3
