"","X","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month","max_temp","min_temp","rainfall"
"1",1,325,1.2,1.1,"2009-02-01",737,"Terra","MODIS",50,6.2,297.9,13.3,"D",0,2009,2,28.0273666381836,22.7319602966309,89.8772125244141
"2",2,303.6,1,1,"2009-02-01",1958,"Terra","MODIS",40,6.2,293.1,4.1,"N",0,2009,2,24.9404144287109,15.444993019104,114.098480224609
"3",3,314.3,1,1,"2009-02-01",1958,"Terra","MODIS",89,6.2,294.5,11.8,"N",0,2009,2,24.9404144287109,15.444993019104,114.098480224609
"4",4,319.1,1.5,1.2,"2009-02-01",2257,"Aqua","MODIS",98,6.2,294.5,28.1,"N",0,2009,2,24.9404144287109,15.444993019104,114.098480224609
"5",5,305.5,1.5,1.2,"2009-02-01",2257,"Aqua","MODIS",64,6.2,293.9,9.8,"N",0,2009,2,24.9404144287109,15.444993019104,114.098480224609
"6",6,323.2,1.2,1.1,"2009-02-02",819,"Terra","MODIS",71,6.2,300.3,15.4,"D",0,2009,2,21.5066871643066,11.8866949081421,126.227409362793
"7",7,322.3,1.2,1.1,"2009-02-02",819,"Terra","MODIS",74,6.2,306.3,10.2,"D",0,2009,2,28.385046005249,17.0199565887451,141.799011230469
"8",8,319.3,1.2,1.1,"2009-02-02",819,"Terra","MODIS",57,6.2,305,7.6,"D",0,2009,2,22.4624614715576,12.7233858108521,147.403732299805
"9",9,316.7,1.2,1.1,"2009-02-02",819,"Terra","MODIS",52,6.2,301.9,7.6,"D",0,2009,2,21.012336730957,11.2034349441528,129.123901367188
"10",10,316.1,1.3,1.1,"2009-02-02",819,"Terra","MODIS",66,6.2,296.3,13.5,"D",0,2009,2,16.8584270477295,8.11001396179199,116.166786193848
"11",11,321.8,1.4,1.2,"2009-02-02",819,"Terra","MODIS",60,6.2,301.8,18.5,"D",0,2009,2,19.3954906463623,9.20012855529785,159.244445800781
"12",12,322.2,1.1,1,"2009-02-02",819,"Terra","MODIS",72,6.2,303.1,12.9,"D",0,2009,2,23.3504581451416,13.6241283416748,148.718521118164
"13",13,325.8,1.6,1.2,"2009-02-02",1118,"Aqua","MODIS",48,6.2,301.3,14.7,"D",0,2009,2,26.8818988800049,21.8621063232422,102.60920715332
"14",14,334,1.8,1.3,"2009-02-02",1118,"Aqua","MODIS",75,6.2,301.5,43.2,"D",0,2009,2,28.8241996765137,24.5050315856934,226.137802124023
"15",15,331.4,1.8,1.3,"2009-02-02",1118,"Aqua","MODIS",58,6.2,301,37.3,"D",0,2009,2,28.8241996765137,24.5050315856934,226.137802124023
"16",16,319.6,1,1,"2009-02-02",1119,"Aqua","MODIS",71,6.2,300.9,9.2,"D",0,2009,2,25.7235069274902,17.6716918945312,126.858856201172
"17",17,325.1,1,1,"2009-02-02",1119,"Aqua","MODIS",51,6.2,299.3,13,"D",0,2009,2,24.830509185791,16.1294422149658,158.995620727539
