"","X","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month","max_temp","min_temp","rainfall"
"1",1,323.8,4,1.9,"2003-04-01",1009,"Aqua","MODIS",0,6.2,296.3,92.6,"D",0,2003,4,NA,NA,NA
"2",2,321.6,4,1.9,"2003-04-01",1009,"Aqua","MODIS",0,6.2,296.4,74.4,"D",0,2003,4,NA,NA,NA
"3",3,321.4,4,1.9,"2003-04-01",1009,"Aqua","MODIS",0,6.2,295.3,75.8,"D",0,2003,4,29.0698261260986,22.8266410827637,70.9535446166992
"4",4,316.1,3.9,1.8,"2003-04-01",1009,"Aqua","MODIS",49,6.2,296.1,42.8,"D",0,2003,4,29.0094127655029,22.5551776885986,76.6783294677734
"5",5,328.1,1.2,1.1,"2003-04-02",800,"Terra","MODIS",29,6.2,309.3,16.1,"D",0,2003,4,24.311107635498,12.6607685089111,149.652465820312
"6",6,330.1,1.4,1.2,"2003-04-02",801,"Terra","MODIS",69,6.2,306.4,27.5,"D",0,2003,4,29.3027896881104,22.4873428344727,77.8717575073242
"7",7,321.1,1.5,1.2,"2003-04-02",801,"Terra","MODIS",37,6.2,301.8,15.9,"D",0,2003,4,NA,NA,NA
"8",8,323.8,1.4,1.2,"2003-04-02",801,"Terra","MODIS",55,6.2,303.1,20.3,"D",0,2003,4,29.4175930023193,22.8906135559082,86.4213027954102
"9",9,316.8,1.1,1.1,"2003-04-02",801,"Terra","MODIS",59,6.2,301,7.8,"D",0,2003,4,25.5285415649414,14.3862361907959,127.057769775391
"10",10,317.6,1.5,1.2,"2003-04-02",801,"Terra","MODIS",20,6.2,297.5,13.8,"D",0,2003,4,29.4750328063965,22.4815940856934,77.0552673339844
"11",11,320.2,1.1,1.1,"2003-04-02",801,"Terra","MODIS",57,6.2,303.6,9.6,"D",0,2003,4,23.1579036712646,11.7518625259399,152.901870727539
"12",12,321,1.5,1.2,"2003-04-02",801,"Terra","MODIS",24,6.2,301.3,16.6,"D",0,2003,4,29.2049961090088,22.7565441131592,79.6468887329102
"13",13,314.3,1.2,1.1,"2003-04-02",802,"Terra","MODIS",36,6.2,296.7,10.7,"D",0,2003,4,27.5412120819092,17.5099620819092,19.9266738891602
"14",14,318.5,1.2,1.1,"2003-04-02",802,"Terra","MODIS",39,6.2,299.8,13.2,"D",0,2003,4,27.5412120819092,17.5099620819092,19.9266738891602
"15",15,345.4,1,1,"2003-04-02",1052,"Aqua","MODIS",90,6.2,307.7,32.7,"D",0,2003,4,27.2676696777344,19.6769561767578,45.7549896240234
"16",16,339.2,1,1,"2003-04-02",1052,"Aqua","MODIS",85,6.2,303.2,24.2,"D",0,2003,4,27.4771461486816,19.9176540374756,47.6161994934082
"17",17,344.5,1,1,"2003-04-02",1052,"Aqua","MODIS",90,6.2,304.5,37.4,"D",0,2003,4,28.1802024841309,20.5426273345947,43.3777885437012
"18",18,330.3,1,1,"2003-04-02",1052,"Aqua","MODIS",73,6.2,305,10.3,"D",0,2003,4,27.4771461486816,19.9176540374756,47.6161994934082
"19",19,326.2,1,1,"2003-04-02",1052,"Aqua","MODIS",46,6.2,305.3,7.8,"D",0,2003,4,27.4474906921387,19.7187538146973,44.5731201171875
"20",20,336,1,1,"2003-04-02",1052,"Aqua","MODIS",81,6.2,303.8,20.7,"D",0,2003,4,27.4657211303711,19.6967391967773,42.9273719787598
"21",21,337.1,1,1,"2003-04-02",1052,"Aqua","MODIS",83,6.2,304.7,23.3,"D",0,2003,4,27.5359516143799,19.6907253265381,38.5906066894531
"22",22,328.7,1,1,"2003-04-02",1052,"Aqua","MODIS",62,6.2,304,12.3,"D",0,2003,4,27.5359516143799,19.6907253265381,38.5906066894531
"23",23,333.3,1,1,"2003-04-02",1052,"Aqua","MODIS",67,6.2,307.3,10.6,"D",0,2003,4,29.4584674835205,22.7536277770996,82.0336761474609
"24",24,346.2,1,1,"2003-04-02",1052,"Aqua","MODIS",91,6.2,308.2,33.4,"D",0,2003,4,29.4584674835205,22.7536277770996,82.0336761474609
"25",25,329.5,1,1,"2003-04-02",1052,"Aqua","MODIS",72,6.2,305.6,11.2,"D",0,2003,4,27.0057506561279,19.8154373168945,53.4253120422363
"26",26,325.9,1,1,"2003-04-02",1052,"Aqua","MODIS",52,6.2,305.9,7.2,"D",0,2003,4,29.0320987701416,21.3443088531494,45.4711151123047
"27",27,329.8,1,1,"2003-04-02",1052,"Aqua","MODIS",71,6.2,306.4,12,"D",0,2003,4,29.2152557373047,22.0469970703125,61.2218894958496
"28",28,328.3,1,1,"2003-04-02",1052,"Aqua","MODIS",56,6.2,305.1,9.7,"D",0,2003,4,29.3180961608887,21.7286911010742,48.5389671325684
"29",29,339.6,1,1,"2003-04-02",1052,"Aqua","MODIS",86,6.2,306.7,22.9,"D",0,2003,4,27.2782287597656,19.7773361206055,46.9307975769043
"30",30,329.9,1,1,"2003-04-02",1052,"Aqua","MODIS",73,6.2,307.4,7.6,"D",0,2003,4,27.2736186981201,19.7731685638428,50.0279083251953
"31",31,328.2,1,1,"2003-04-02",1052,"Aqua","MODIS",52,6.2,304.5,8.9,"D",0,2003,4,29.2052364349365,21.9287605285645,57.2488746643066
"32",32,329.8,1,1,"2003-04-02",1052,"Aqua","MODIS",15,6.2,306.7,8.7,"D",0,2003,4,29.2052364349365,21.9287605285645,57.2488746643066
"33",33,336.6,1,1,"2003-04-02",1052,"Aqua","MODIS",82,6.2,306.9,21.7,"D",0,2003,4,29.1922454833984,21.9778785705566,58.8056488037109
"34",34,321.3,1.3,1.1,"2003-04-02",2022,"Terra","MODIS",100,6.2,283.3,33.2,"N",0,2003,4,23.6934585571289,12.0480823516846,151.581985473633
"35",35,363.2,1.3,1.1,"2003-04-02",2022,"Terra","MODIS",100,6.2,282.7,150.4,"N",0,2003,4,23.7416553497314,12.1639137268066,155.678894042969
"36",36,322.8,1,1,"2003-04-02",2314,"Aqua","MODIS",100,6.2,281.8,23.6,"N",0,2003,4,23.6934585571289,12.0480823516846,151.581985473633
"37",37,316.4,1,1,"2003-04-02",2314,"Aqua","MODIS",93,6.2,281.8,17.4,"N",0,2003,4,23.9978866577148,12.2710704803467,152.604293823242
"38",38,310.9,1,1,"2003-04-02",2314,"Aqua","MODIS",81,6.2,282.2,12.8,"N",0,2003,4,23.9383850097656,12.2308788299561,153.520355224609
"39",39,340.1,1,1,"2003-04-02",2314,"Aqua","MODIS",100,6.2,283.5,47.2,"N",0,2003,4,23.7416553497314,12.1639137268066,155.678894042969
"40",40,318.4,1,1,"2003-04-04",748,"Terra","MODIS",36,6.2,298.8,9.4,"D",0,2003,4,29.3355331420898,22.2242050170898,64.7106857299805
"41",41,326.9,1,1,"2003-04-04",748,"Terra","MODIS",77,6.2,304.5,15.6,"D",0,2003,4,29.6801376342773,21.7998485565186,50.4314575195312
"42",42,327.9,1,1,"2003-04-04",749,"Terra","MODIS",49,6.2,301,10.9,"D",0,2003,4,29.4266052246094,22.7647666931152,79.6525344848633
"43",43,323.2,1,1,"2003-04-04",749,"Terra","MODIS",53,6.2,298.4,11.9,"D",0,2003,4,28.7730178833008,20.2057476043701,60.2116355895996
"44",44,331.8,1,1,"2003-04-04",749,"Terra","MODIS",32,6.2,302.4,17.4,"D",0,2003,4,29.1456718444824,22.3086833953857,68.4226531982422
"45",45,335.8,1,1,"2003-04-04",749,"Terra","MODIS",74,6.2,301.4,21.6,"D",0,2003,4,29.2898082733154,21.7291145324707,45.957878112793
"46",46,340,1,1,"2003-04-04",749,"Terra","MODIS",87,6.2,302.8,26.4,"D",0,2003,4,29.2898082733154,21.7291145324707,45.957878112793
"47",47,324.7,1.5,1.2,"2003-04-04",1039,"Aqua","MODIS",71,6.2,300.6,16.4,"D",0,2003,4,28.6529483795166,20.8558311462402,59.019157409668
"48",48,322.3,1.6,1.3,"2003-04-04",1039,"Aqua","MODIS",68,6.2,300,17.2,"D",0,2003,4,NA,NA,NA
"49",49,359.1,1.3,1.1,"2003-04-04",1040,"Aqua","MODIS",99,6.2,305,94.3,"D",0,2003,4,29.2675342559814,21.604513168335,45.207592010498
"50",50,364.2,1.3,1.1,"2003-04-04",1040,"Aqua","MODIS",100,6.2,298,133,"D",0,2003,4,27.489429473877,19.771427154541,40.9546585083008
"51",51,321.4,2.9,1.6,"2003-04-04",1040,"Aqua","MODIS",74,6.2,299.4,54.3,"D",0,2003,4,24.7957897186279,12.1426601409912,26.5133323669434
"52",52,328.3,1.3,1.1,"2003-04-04",1040,"Aqua","MODIS",70,6.2,302,14.3,"D",0,2003,4,29.3180961608887,21.7286911010742,48.5389671325684
"53",53,331.4,1.3,1.1,"2003-04-04",1040,"Aqua","MODIS",80,6.2,302.2,20.1,"D",0,2003,4,29.3180961608887,21.7286911010742,48.5389671325684
"54",54,332.7,1.3,1.1,"2003-04-04",1040,"Aqua","MODIS",81,6.2,302.5,21.1,"D",0,2003,4,29.2675342559814,21.604513168335,45.207592010498
