"","X","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month","max_temp","min_temp","rainfall"
"1",1,323.8,2.1,1.4,"2007-11-01",835,"Terra","MODIS",33,6.2,298.7,23.5,"D",0,2007,11,35.0320777893066,22.8300590515137,56.9998397827148
"2",2,319.7,1.4,1.2,"2007-11-01",1132,"Aqua","MODIS",35,6.2,298.9,14,"D",0,2007,11,28.4190406799316,18.0864067077637,126.230171203613
"3",3,315.9,1.4,1.2,"2007-11-01",1132,"Aqua","MODIS",55,6.2,298.3,12.1,"D",0,2007,11,28.350902557373,18.0543155670166,121.034439086914
"4",4,316.5,1.4,1.2,"2007-11-01",1132,"Aqua","MODIS",60,6.2,298.1,12.9,"D",0,2007,11,28.4190406799316,18.0864067077637,126.230171203613
"5",5,322.1,1.9,1.4,"2007-11-02",742,"Terra","MODIS",32,6.2,297.4,20.6,"D",0,2007,11,27.6026268005371,18.704381942749,52.1804962158203
"6",6,329.2,1.8,1.3,"2007-11-02",1036,"Aqua","MODIS",75,6.2,296.9,44.5,"D",0,2007,11,29.5897045135498,22.7666492462158,59.6265029907227
"7",7,326.5,1.8,1.3,"2007-11-02",1036,"Aqua","MODIS",71,6.2,296.8,37,"D",0,2007,11,29.5897045135498,22.7666492462158,59.6265029907227
"8",8,320.8,1.8,1.3,"2007-11-02",1036,"Aqua","MODIS",56,6.2,297,25.1,"D",0,2007,11,29.5897045135498,22.7666492462158,59.6265029907227
"9",9,338.9,1.8,1.3,"2007-11-02",1036,"Aqua","MODIS",86,6.2,297.8,78.3,"D",0,2007,11,29.5897045135498,22.7666492462158,59.6265029907227
"10",10,371.3,2.8,1.6,"2007-11-02",1037,"Aqua","MODIS",100,6.2,297.9,482.7,"D",0,2007,11,25.0927219390869,14.5948400497437,54.3507232666016
"11",11,377.4,2.8,1.6,"2007-11-02",1037,"Aqua","MODIS",100,6.2,296.6,584.1,"D",0,2007,11,25.3810176849365,14.7895479202271,49.6452903747559
"12",12,311.7,1,1,"2007-11-02",2004,"Terra","MODIS",82,6.2,295.1,8.5,"N",0,2007,11,33.3522109985352,22.4731979370117,64.55517578125
"13",13,303,1.3,1.1,"2007-11-02",2257,"Aqua","MODIS",53,6.2,292.8,5,"N",0,2007,11,33.3522109985352,22.4731979370117,64.55517578125
"14",14,320.3,1,1,"2007-11-03",1120,"Aqua","MODIS",71,6.2,297.1,11.8,"D",0,2007,11,26.6331615447998,16.0188293457031,151.903656005859
"15",15,326.2,1.7,1.3,"2007-11-03",1121,"Aqua","MODIS",66,6.2,296.3,32,"D",0,2007,11,26.7379379272461,18.2072792053223,63.5748481750488
"16",16,348.8,1.2,1.1,"2007-11-05",812,"Terra","MODIS",89,6.2,315.3,50.5,"D",0,2007,11,28.1279201507568,18.4056949615479,48.2043495178223
"17",17,328.8,1,1,"2007-11-05",1107,"Aqua","MODIS",44,6.2,310.1,16,"D",0,2007,11,21.1405925750732,11.6170434951782,92.9906463623047
"18",18,333.1,1,1,"2007-11-05",1107,"Aqua","MODIS",52,6.2,308.7,20.6,"D",0,2007,11,21.6779899597168,12.1526784896851,91.8410797119141
"19",19,348.4,1,1,"2007-11-05",1107,"Aqua","MODIS",93,6.2,310.2,49.8,"D",0,2007,11,21.6779899597168,12.1526784896851,91.8410797119141
