"","X","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month","max_temp","min_temp","rainfall"
"1",1,312.8,3.3,1.7,"2008-11-01",711,"Terra","MODIS",23,6.2,292.7,37.9,"D",0,2008,11,31.2597789764404,24.6253528594971,26.4878425598145
"2",2,321.1,1.1,1.1,"2008-11-02",754,"Terra","MODIS",53,6.2,302.6,14.7,"D",0,2008,11,31.0743503570557,24.8557510375977,44.5121421813965
"3",3,317.7,1.2,1.1,"2008-11-02",754,"Terra","MODIS",42,6.2,297.2,13.5,"D",0,2008,11,30.8916816711426,24.6087341308594,23.4360809326172
"4",4,328.5,1.4,1.2,"2008-11-02",1051,"Aqua","MODIS",58,6.2,308.1,16.7,"D",0,2008,11,27.8311901092529,19.1432628631592,280.487884521484
"5",5,327.3,1.4,1.2,"2008-11-02",1051,"Aqua","MODIS",60,6.2,308,14.5,"D",0,2008,11,27.8311901092529,19.1432628631592,280.487884521484
"6",6,331.7,1.5,1.2,"2008-11-02",1051,"Aqua","MODIS",53,6.2,306.5,34,"D",0,2008,11,NA,NA,NA
"7",7,324.2,1,1,"2008-11-02",1052,"Aqua","MODIS",58,6.2,302.8,14.3,"D",0,2008,11,30.9774150848389,24.713737487793,30.3845977783203
"8",8,321.5,1,1,"2008-11-02",1052,"Aqua","MODIS",49,6.2,302.5,11.9,"D",0,2008,11,31.2684574127197,24.603853225708,19.9901161193848
"9",9,314.6,1.5,1.2,"2008-11-04",1039,"Aqua","MODIS",26,6.2,290.1,10.5,"D",0,2008,11,30.8930568695068,24.7441883087158,68.3099975585938
"10",10,331,2.7,1.6,"2008-11-04",1041,"Aqua","MODIS",81,6.2,303.7,57.7,"D",0,2008,11,35.0543212890625,21.8669471740723,42.1155204772949
"11",11,302.7,2.8,1.6,"2008-11-05",824,"Terra","MODIS",13,6.2,276.3,21.2,"D",0,2008,11,30.6822090148926,22.3309440612793,168.089431762695
"12",12,325.2,1.1,1.1,"2008-11-05",1123,"Aqua","MODIS",33,6.2,303,9.5,"D",0,2008,11,22.6295528411865,11.2682189941406,151.973175048828
"13",13,334.1,1.1,1.1,"2008-11-05",1123,"Aqua","MODIS",61,6.2,302.8,29.4,"D",0,2008,11,26.4411888122559,18.0967426300049,165.662506103516
"14",14,334.8,1.1,1.1,"2008-11-05",1123,"Aqua","MODIS",79,6.2,299.5,29.8,"D",0,2008,11,26.3161334991455,18.0389251708984,171.014083862305
"15",15,327.5,1.1,1.1,"2008-11-05",1123,"Aqua","MODIS",52,6.2,296.4,20.2,"D",0,2008,11,24.0499458312988,16.5282421112061,212.636367797852
"16",16,320.9,1.4,1.2,"2008-11-06",729,"Terra","MODIS",46,6.2,296.7,17.2,"D",0,2008,11,31.0863952636719,24.61647605896,26.3462581634521
"17",17,316.4,3.1,1.7,"2008-11-06",1028,"Aqua","MODIS",46,6.2,291.6,41.8,"D",0,2008,11,33.7728958129883,22.7243709564209,40.9079856872559
"18",18,312.5,2,1.4,"2008-11-07",812,"Terra","MODIS",34,6.2,292.7,18.8,"D",0,2008,11,33.045280456543,24.9056186676025,66.7353744506836
"19",19,311.3,1.9,1.4,"2008-11-07",813,"Terra","MODIS",20,6.2,290.3,16.9,"D",0,2008,11,31.0006561279297,22.8125495910645,203.347778320312
"20",20,317.5,1.2,1.1,"2008-11-07",1111,"Aqua","MODIS",45,6.2,299.9,8.2,"D",0,2008,11,27.1545505523682,16.7418670654297,190.29573059082
"21",21,319.7,1.4,1.2,"2008-11-09",800,"Terra","MODIS",51,6.2,299.9,17.2,"D",0,2008,11,31.0743503570557,24.8557510375977,44.5121421813965
"22",22,320.5,1,1,"2008-11-09",1058,"Aqua","MODIS",53,6.2,300.5,6.2,"D",0,2008,11,30.8816452026367,24.5802841186523,65.2725601196289
"23",23,362.6,1,1,"2008-11-09",1058,"Aqua","MODIS",100,6.2,301.3,77.1,"D",0,2008,11,32.8563995361328,24.5801124572754,116.581413269043
"24",24,348.2,1,1,"2008-11-09",1058,"Aqua","MODIS",94,6.2,303.5,41.8,"D",0,2008,11,32.8563995361328,24.5801124572754,116.581413269043
"25",25,322.6,1.9,1.3,"2008-11-12",831,"Terra","MODIS",79,6.2,299.8,34.1,"D",0,2008,11,28.8129577636719,16.784725189209,194.578125
"26",26,319.2,1.9,1.3,"2008-11-13",1033,"Aqua","MODIS",61,6.2,296.7,19.4,"D",0,2008,11,30.7127857208252,NA,NA
"27",27,321.1,1.9,1.3,"2008-11-13",1033,"Aqua","MODIS",0,6.2,297.1,24.8,"D",0,2008,11,30.7127857208252,NA,NA
"28",28,306.5,1.2,1.1,"2008-11-13",1956,"Terra","MODIS",34,6.2,290.7,9.7,"N",0,2008,11,30.4067192077637,20.8054790496826,154.311111450195
"29",29,314.1,1.2,1.1,"2008-11-14",818,"Terra","MODIS",49,6.2,299.9,7.5,"D",0,2008,11,27.9641532897949,15.9780168533325,208.013137817383
"30",30,309.9,2.7,1.6,"2008-11-14",819,"Terra","MODIS",25,6.2,292.3,19.7,"D",0,2008,11,32.5473594665527,24.4948997497559,83.7455444335938
"31",31,319.1,1,1,"2008-11-14",1117,"Aqua","MODIS",71,6.2,299.6,9.7,"D",0,2008,11,26.5917949676514,15.4229412078857,182.888214111328
"32",32,304.9,1.2,1.1,"2008-11-15",1944,"Terra","MODIS",45,6.2,294.2,5.3,"N",0,2008,11,30.0528354644775,23.4057693481445,114.744331359863
"33",33,315.4,1.2,1.1,"2008-11-15",1944,"Terra","MODIS",91,6.2,292.3,14.7,"N",0,2008,11,30.2311916351318,NA,NA
"34",34,315.9,1.4,1.2,"2008-11-16",807,"Terra","MODIS",25,6.2,297.8,12.9,"D",0,2008,11,31.0708446502686,22.4114055633545,265.125854492188
"35",35,326.9,1.4,1.2,"2008-11-18",754,"Terra","MODIS",82,6.2,296.6,28.5,"D",0,2008,11,27.9641532897949,15.9780168533325,208.013137817383
"36",36,310.4,1.6,1.3,"2008-11-18",754,"Terra","MODIS",48,6.2,290,9.4,"D",0,2008,11,28.2431831359863,17.2521018981934,185.882354736328
"37",37,312.4,1.6,1.3,"2008-11-18",754,"Terra","MODIS",66,6.2,290.6,12.8,"D",0,2008,11,28.2431831359863,17.2521018981934,185.882354736328
"38",38,316.8,1.4,1.2,"2008-11-18",754,"Terra","MODIS",72,6.2,296.3,13.2,"D",0,2008,11,27.9641532897949,15.9780168533325,208.013137817383
"39",39,315.2,1.4,1.2,"2008-11-18",754,"Terra","MODIS",70,6.2,295.3,10.3,"D",0,2008,11,27.9641532897949,15.9780168533325,208.013137817383
"40",40,336.9,1.1,1,"2008-11-18",1052,"Aqua","MODIS",87,6.2,304.4,25,"D",0,2008,11,32.5473594665527,24.4948997497559,83.7455444335938
"41",41,303.8,1,1,"2008-11-20",2002,"Terra","MODIS",50,6.2,287.6,5.3,"N",0,2008,11,27.6930198669434,19.53125,263.952545166016
"42",42,302.8,1,1,"2008-11-20",2002,"Terra","MODIS",37,6.2,286.6,4.8,"N",0,2008,11,27.5663967132568,19.643871307373,252.27702331543
"43",43,321.2,1.3,1.1,"2008-11-21",825,"Terra","MODIS",67,6.2,296.9,20.8,"D",0,2008,11,26.4751453399658,16.175012588501,191.297225952148
"44",44,315.4,1.4,1.2,"2008-11-21",825,"Terra","MODIS",63,6.2,301.8,9,"D",0,2008,11,28.9555702209473,17.8463554382324,220.1826171875
