"","X","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month","max_temp","min_temp","rainfall"
"1",1,325.6,1.1,1.1,"2001-08-02",808,"Terra","MODIS",81,6.2,295.9,22.2,"D",0,2001,8,28.7563056945801,16.2566223144531,128.433746337891
"2",2,306.1,1.2,1.1,"2001-08-02",2029,"Terra","MODIS",67,6.2,285.9,11.3,"N",0,2001,8,25.5925903320312,14.445704460144,157.990997314453
"3",3,303.3,1.2,1.1,"2001-08-02",2029,"Terra","MODIS",54,6.2,285.3,9.8,"N",0,2001,8,26.4887104034424,14.609977722168,141.37873840332
"4",4,323,1.2,1.1,"2001-08-04",756,"Terra","MODIS",74,6.2,299,10.7,"D",0,2001,8,28.558219909668,19.2378921508789,250.411193847656
"5",5,324.3,1.1,1,"2001-08-04",756,"Terra","MODIS",54,6.2,305.1,15.5,"D",0,2001,8,25.5831108093262,15.1829967498779,242.491973876953
"6",6,335.2,1.1,1,"2001-08-04",756,"Terra","MODIS",83,6.2,305.1,32.5,"D",0,2001,8,24.2351112365723,13.650541305542,267.302551269531
"7",7,319.5,1.1,1,"2001-08-04",756,"Terra","MODIS",50,6.2,304.7,11.4,"D",0,2001,8,26.4728889465332,15.9378347396851,223.021179199219
"8",8,322,1.1,1,"2001-08-04",756,"Terra","MODIS",51,6.2,302.7,10.6,"D",0,2001,8,24.8128890991211,14.2943735122681,257.602813720703
"9",9,332.9,2.3,1.5,"2001-08-05",838,"Terra","MODIS",74,6.2,308.4,29.1,"D",0,2001,8,37.1232643127441,21.7315826416016,42.1887435913086
"10",10,322.1,1.3,1.1,"2001-08-06",744,"Terra","MODIS",71,6.2,300.9,13.7,"D",0,2001,8,30.5535049438477,20.5303382873535,114.28596496582
"11",11,327.6,1.5,1.2,"2001-08-06",744,"Terra","MODIS",79,6.2,303.7,28.2,"D",0,2001,8,29.1507320404053,17.778356552124,112.697494506836
"12",12,320.3,1.9,1.3,"2001-08-07",826,"Terra","MODIS",69,6.2,300.2,22,"D",0,2001,8,28.4483547210693,18.725378036499,274.380798339844
"13",13,328.6,1.1,1,"2001-08-07",826,"Terra","MODIS",82,6.2,297.8,24.9,"D",0,2001,8,28.1710014343262,15.2822294235229,107.856033325195
"14",14,323.7,1.1,1,"2001-08-07",826,"Terra","MODIS",78,6.2,296.3,19.3,"D",0,2001,8,28.1710014343262,15.2822294235229,107.856033325195
"15",15,315.7,1.1,1.1,"2001-08-07",826,"Terra","MODIS",63,6.2,301.8,7.4,"D",0,2001,8,26.954776763916,15.9331588745117,182.541229248047
"16",16,326.2,1.2,1.1,"2001-08-07",826,"Terra","MODIS",77,6.2,301.6,22.3,"D",0,2001,8,NA,NA,NA
"17",17,315.2,1.2,1.1,"2001-08-07",826,"Terra","MODIS",41,6.2,300.4,8.3,"D",0,2001,8,27.4143867492676,15.250696182251,127.686325073242
"18",18,319.4,1.2,1.1,"2001-08-07",826,"Terra","MODIS",66,6.2,298.9,13.2,"D",0,2001,8,NA,NA,NA
"19",19,312.2,1.5,1.2,"2001-08-09",815,"Terra","MODIS",53,6.2,292.6,12.3,"D",0,2001,8,30.5875911712646,20.1279010772705,91.6286468505859
"20",20,335.9,1,1,"2001-08-11",801,"Terra","MODIS",83,6.2,305.6,22.3,"D",0,2001,8,26.7109565734863,15.7898807525635,444.025207519531
"21",21,346.3,1.1,1,"2001-08-11",802,"Terra","MODIS",92,6.2,307,45.5,"D",0,2001,8,26.0414524078369,15.1705131530762,194.67138671875
"22",22,318.2,1.5,1.2,"2001-08-11",802,"Terra","MODIS",67,6.2,295.8,17.2,"D",0,2001,8,26.8635005950928,15.9515619277954,177.877105712891
"23",23,326.8,1,1,"2001-08-11",802,"Terra","MODIS",74,6.2,303.4,13.1,"D",0,2001,8,29.191427230835,19.5420551300049,217.591903686523
"24",24,301.7,1.5,1.2,"2001-08-11",2023,"Terra","MODIS",43,6.2,284.2,12.5,"N",0,2001,8,23.388635635376,12.4824132919312,437.737609863281
"25",25,320.3,3.4,1.7,"2001-08-12",845,"Terra","MODIS",76,6.2,293.4,47.2,"D",0,2001,8,29.5148944854736,16.9205093383789,70.6247711181641
"26",26,327.5,3.4,1.7,"2001-08-12",845,"Terra","MODIS",82,6.2,293.8,94.9,"D",0,2001,8,29.5148944854736,16.9205093383789,70.6247711181641
"27",27,318.5,3.3,1.7,"2001-08-12",845,"Terra","MODIS",21,6.2,287.3,41.9,"D",0,2001,8,28.9984436035156,17.3613986968994,62.0283813476562
"28",28,328.4,1.4,1.2,"2001-08-13",749,"Terra","MODIS",77,6.2,301.5,24.6,"D",0,2001,8,28.4845199584961,19.0526180267334,259.721099853516
"29",29,316.5,1.6,1.2,"2001-08-13",749,"Terra","MODIS",65,6.2,292.8,14.1,"D",0,2001,8,26.257719039917,15.319787979126,201.712524414062
"30",30,332.9,1.2,1.1,"2001-08-13",750,"Terra","MODIS",84,6.2,297.2,33.1,"D",0,2001,8,27.6393032073975,16.4480934143066,137.089584350586
"31",31,316.9,1.2,1.1,"2001-08-13",750,"Terra","MODIS",41,6.2,296.4,9.5,"D",0,2001,8,27.6393032073975,16.4480934143066,137.089584350586
"32",32,329,1.2,1.1,"2001-08-13",750,"Terra","MODIS",80,6.2,300.7,23,"D",0,2001,8,28.8212394714355,16.9532814025879,114.931999206543
"33",33,330.8,1.2,1.1,"2001-08-13",750,"Terra","MODIS",82,6.2,301.5,25.8,"D",0,2001,8,28.8212394714355,16.9532814025879,114.931999206543
"34",34,336.2,1.2,1.1,"2001-08-13",750,"Terra","MODIS",86,6.2,301.9,36.7,"D",0,2001,8,28.8212394714355,16.9532814025879,114.931999206543
"35",35,301.2,1,1,"2001-08-13",2010,"Terra","MODIS",28,6.2,284.7,7.4,"N",0,2001,8,24.6471118927002,13.8180847167969,260.860961914062
