"","X","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month","max_temp","min_temp","rainfall"
"1",1,326.5,1.3,1.1,"2009-04-02",801,"Terra","MODIS",50,6.2,300.8,20,"D",0,2009,4,32.7170600891113,22.0194759368896,47.1637077331543
"2",2,323.9,1.3,1.1,"2009-04-02",801,"Terra","MODIS",50,6.2,304.6,17.7,"D",0,2009,4,32.6972312927246,22.0769462585449,49.9035568237305
"3",3,328.4,1.3,1.1,"2009-04-02",801,"Terra","MODIS",62,6.2,303.1,23.8,"D",0,2009,4,32.7170600891113,22.0194759368896,47.1637077331543
"4",4,323.1,1.4,1.2,"2009-04-02",801,"Terra","MODIS",20,6.2,302.9,19.8,"D",0,2009,4,32.7658538818359,22.3546390533447,61.8138465881348
"5",5,341.6,1,1,"2009-04-02",1100,"Aqua","MODIS",86,6.2,308.8,27.6,"D",0,2009,4,30.6040077209473,19.9283771514893,57.1466598510742
"6",6,328.8,1,1,"2009-04-02",1100,"Aqua","MODIS",29,6.2,306.9,9,"D",0,2009,4,30.5571422576904,19.9094562530518,61.2424163818359
"7",7,338.9,1,1,"2009-04-02",1100,"Aqua","MODIS",82,6.2,308.1,22.2,"D",0,2009,4,30.5788726806641,19.8273029327393,55.501335144043
"8",8,331.1,1,1,"2009-04-02",1100,"Aqua","MODIS",70,6.2,306.7,13.6,"D",0,2009,4,30.8266468048096,19.8970317840576,49.5075149536133
"9",9,335.8,1,1,"2009-04-02",1101,"Aqua","MODIS",72,6.2,307.8,18.4,"D",0,2009,4,32.5967636108398,22.2661724090576,51.803108215332
"10",10,337.4,1,1,"2009-04-02",1101,"Aqua","MODIS",81,6.2,309.3,20.7,"D",0,2009,4,32.5967636108398,22.2661724090576,51.803108215332
"11",11,341.6,1,1,"2009-04-02",1101,"Aqua","MODIS",85,6.2,314.6,19.2,"D",0,2009,4,32.5559272766113,22.7039833068848,93.1752014160156
"12",12,336.7,1,1,"2009-04-02",1101,"Aqua","MODIS",68,6.2,315.2,10.1,"D",0,2009,4,32.5559272766113,22.7039833068848,93.1752014160156
"13",13,358.8,1,1,"2009-04-02",1101,"Aqua","MODIS",99,6.2,313,62.1,"D",0,2009,4,32.6875228881836,23.1054954528809,87.0335159301758
"14",14,337,1,1,"2009-04-02",1101,"Aqua","MODIS",80,6.2,312.8,14.5,"D",0,2009,4,32.7956123352051,22.82590675354,89.7418518066406
"15",15,334.6,1,1,"2009-04-02",1101,"Aqua","MODIS",50,6.2,311.5,9.4,"D",0,2009,4,32.5435562133789,22.7383861541748,86.2793121337891
"16",16,329.6,1,1,"2009-04-02",1101,"Aqua","MODIS",69,6.2,310.6,9.5,"D",0,2009,4,32.3713569641113,21.563835144043,50.4654312133789
"17",17,337.4,1,1,"2009-04-02",1101,"Aqua","MODIS",81,6.2,303.5,25.5,"D",0,2009,4,30.6852016448975,19.9899215698242,48.10107421875
"18",18,326.8,1.5,1.2,"2009-04-02",1101,"Aqua","MODIS",80,6.2,295.6,35.5,"D",0,2009,4,18.0642509460449,6.566725730896,108.623832702637
"19",19,323.8,1.5,1.2,"2009-04-02",1101,"Aqua","MODIS",76,6.2,293.7,29,"D",0,2009,4,18.0642509460449,6.566725730896,108.623832702637
"20",20,320.7,1.5,1.2,"2009-04-02",1101,"Aqua","MODIS",68,6.2,295.6,24.1,"D",0,2009,4,17.7924156188965,6.40201044082642,104.782386779785
"21",21,350.1,1,1,"2009-04-02",1101,"Aqua","MODIS",93,6.2,308.9,38.4,"D",0,2009,4,32.7523536682129,22.485767364502,73.7341918945312
"22",22,339,1,1,"2009-04-02",1101,"Aqua","MODIS",82,6.2,308.5,17.6,"D",0,2009,4,32.8100395202637,22.4045257568359,65.9418792724609
"23",23,332.8,1,1,"2009-04-02",1101,"Aqua","MODIS",52,6.2,309.9,16.1,"D",0,2009,4,32.4647483825684,NA,NA
"24",24,337.4,1,1,"2009-04-02",1101,"Aqua","MODIS",66,6.2,313.8,16.6,"D",0,2009,4,NA,22.8856983184814,76.5821990966797
"25",25,331.8,1.3,1.1,"2009-04-02",1102,"Aqua","MODIS",77,6.2,297,35.7,"D",0,2009,4,25.0103340148926,11.5465660095215,91.2726211547852
"26",26,341.8,1.2,1.1,"2009-04-02",1102,"Aqua","MODIS",78,6.2,295.7,58.8,"D",0,2009,4,23.6878662109375,11.151442527771,83.6374206542969
"27",27,337.2,1.2,1.1,"2009-04-02",1102,"Aqua","MODIS",84,6.2,307.9,31.9,"D",0,2009,4,23.9669971466064,10.5587978363037,80.0875091552734
"28",28,340.2,1.2,1.1,"2009-04-02",1102,"Aqua","MODIS",86,6.2,308.8,42.6,"D",0,2009,4,23.9669971466064,10.5587978363037,80.0875091552734
"29",29,300.9,1.1,1.1,"2009-04-02",2322,"Aqua","MODIS",35,6.2,285.7,6.2,"N",0,2009,4,23.6878662109375,11.151442527771,83.6374206542969
"30",30,335.4,3.9,1.8,"2009-04-03",843,"Terra","MODIS",44,6.2,310.7,96.6,"D",0,2009,4,37.4587669372559,21.5600337982178,18.1279392242432
"31",31,324,4.6,2,"2009-04-03",1143,"Aqua","MODIS",54,6.2,297.3,86.6,"D",0,2009,4,30.615327835083,19.8387050628662,53.2913436889648
"32",32,325.2,4.6,2,"2009-04-03",1143,"Aqua","MODIS",63,6.2,297.3,99.8,"D",0,2009,4,30.6040077209473,19.9283771514893,57.1466598510742
"33",33,343.4,3.4,1.7,"2009-04-03",1145,"Aqua","MODIS",87,6.2,297.8,236.2,"D",0,2009,4,22.3579177856445,11.3773937225342,26.6902179718018
"34",34,322.7,1,1,"2009-04-04",749,"Terra","MODIS",46,6.2,303.5,10.3,"D",0,2009,4,32.246639251709,22.5776386260986,62.9995994567871
"35",35,329.9,1,1,"2009-04-04",749,"Terra","MODIS",51,6.2,307.6,10.4,"D",0,2009,4,32.9909286499023,21.9371566772461,42.5005569458008
"36",36,357,1.3,1.1,"2009-04-04",1048,"Aqua","MODIS",98,6.2,306.9,90,"D",0,2009,4,30.7223281860352,19.9943714141846,58.5615615844727
"37",37,334.3,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",58,6.2,309,16.6,"D",0,2009,4,32.774299621582,22.8397464752197,85.8748626708984
"38",38,335.8,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",71,6.2,309,17.7,"D",0,2009,4,32.6828727722168,22.7587108612061,81.5728073120117
"39",39,332.8,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",66,6.2,308.9,12,"D",0,2009,4,32.6828727722168,22.7587108612061,81.5728073120117
"40",40,346.6,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",90,6.2,309.7,42.9,"D",0,2009,4,32.716926574707,22.7247333526611,91.1384658813477
"41",41,327.7,1.3,1.1,"2009-04-04",1048,"Aqua","MODIS",50,6.2,304.3,12.8,"D",0,2009,4,31.5044612884521,20.5533084869385,61.6395568847656
"42",42,339.5,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",70,6.2,307.4,30.4,"D",0,2009,4,32.6828727722168,22.7587108612061,81.5728073120117
"43",43,350.1,1.3,1.1,"2009-04-04",1048,"Aqua","MODIS",93,6.2,301.6,71.4,"D",0,2009,4,31.1147861480713,20.2648506164551,53.5633316040039
"44",44,335.9,1.3,1.1,"2009-04-04",1048,"Aqua","MODIS",78,6.2,300.9,33.1,"D",0,2009,4,30.7183380126953,19.9189968109131,48.9274291992188
"45",45,329.9,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",52,6.2,308.1,10.5,"D",0,2009,4,32.7140235900879,23.2026634216309,91.8285369873047
"46",46,348,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",91,6.2,308.4,48.3,"D",0,2009,4,32.6828727722168,22.7587108612061,81.5728073120117
"47",47,328.2,1.3,1.1,"2009-04-04",1048,"Aqua","MODIS",38,6.2,307,12.3,"D",0,2009,4,31.5044612884521,20.5533084869385,61.6395568847656
"48",48,334.9,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",73,6.2,309,16.5,"D",0,2009,4,32.6875228881836,23.1054954528809,87.0335159301758
"49",49,333.7,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",70,6.2,309.6,14.7,"D",0,2009,4,32.6875228881836,23.1054954528809,87.0335159301758
"50",50,335.7,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",79,6.2,310.3,18.9,"D",0,2009,4,32.6875228881836,23.1054954528809,87.0335159301758
"51",51,336,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",67,6.2,300.6,26.6,"D",0,2009,4,NA,22.7487735748291,73.2488555908203
"52",52,334.7,1.2,1.1,"2009-04-04",1048,"Aqua","MODIS",74,6.2,309.7,17.1,"D",0,2009,4,32.6875228881836,23.1054954528809,87.0335159301758
"53",53,331.4,1.3,1.1,"2009-04-04",1048,"Aqua","MODIS",69,6.2,307.4,16,"D",0,2009,4,30.6195068359375,19.9242115020752,60.2296676635742
"54",54,325.9,2.2,1.4,"2009-04-04",1049,"Aqua","MODIS",34,6.2,300.3,48.9,"D",0,2009,4,24.9231662750244,11.074517250061,89.0157012939453
