max_temp,rainfall,tyme,count
26.88832788043446,177.12433504604306,1,198
29.86305111944075,122.65233715106291,2,146
25.654207701498578,290.92966696829865,3,220
28.797754566099083,112.94735195207811,4,164
32.47996359352614,59.80690771322405,5,220
25.755649587851494,37.23064308162961,6,238
28.649655768436038,68.96257447975643,7,101
30.713183037097437,220.9455300924218,8,171
28.130140159651628,38.461730649684505,9,434
26.07568154923398,204.7984466441089,10,491
29.981472289201637,18.106429476854828,11,225
29.99002147540255,163.5499202319852,12,136
29.094290947760427,229.90857388508846,13,107
30.23142712106488,115.05374194697144,14,80
30.1918488824527,102.50114976821412,15,74
29.59395216533327,133.79403455860574,16,81
28.892675654786593,41.513968353880955,17,100
30.378915610114387,41.69931059108117,18,92
25.544258427438127,124.89516049294679,19,178
32.00300576366584,186.770965693187,20,95
29.285577697701918,120.29158944425119,21,147
34.062735333905344,122.3831003871004,22,95
27.2995422257968,173.66869081102053,23,236
29.32793966955379,81.07748563455827,24,210
27.157905034033334,174.5615388422085,25,288
28.909437156459635,142.213864691208,26,256
28.165641194505167,49.50502989217014,27,316
28.127566199045756,150.5410661906236,28,320
29.151151503189073,11.422464582317929,29,315
27.56449548984668,113.08307491124921,30,385
32.032321628404176,172.78253528199508,31,233
30.83351937653604,215.70305096385928,32,273
24.226153744954548,199.6821682313461,33,617
28.998411743135197,267.53239973812106,34,350
28.250985149575015,152.67273419349192,35,406
28.755501269308947,190.862704310246,36,381
27.996186137096668,44.57224236402372,37,449
30.91803652058175,232.0578310873036,38,299
28.354218416572735,121.44730888459154,39,422
31.297756750976223,143.5902593603947,40,297
27.524298512968496,229.16642922050875,41,452
26.283370761711218,74.31154003295433,42,553
24.7905733207007,276.48430613347784,43,615
26.547170493879058,232.58746732230549,44,507
26.327245868059592,244.95037272574717,45,520
30.974796032767696,63.804191434416424,46,317
28.53644132992848,172.4294536180859,47,404
29.361353730050386,241.01656550322386,48,355
28.0536134915962,223.1542192156405,49,418
31.259755465195415,112.88815973558204,50,299
26.826143612032674,89.97393598243914,51,499
27.582871301880022,200.51841601221625,52,437
29.2377396230229,225.66464640341806,53,353
32.467884365420076,219.80246967901877,54,241
30.605214696546046,173.18442188218037,55,301
29.933950838352686,196.99140718622954,56,320
27.996400766884655,260.4418451164506,57,394
31.67958025686811,165.54461457717298,58,262
32.01193880803193,194.446115199929,59,248
32.31920050709939,150.5764268413653,60,242
