max_temp,rainfall,count,tyme,month
27.659072608772867,65.3605593818756,811,1,1
26.45166700403433,95.19814104415272,1278,2,2
33.44174807071485,180.52814462726147,906,3,3
27.906397965031648,22.805613350664565,914,4,4
29.18926762100857,187.75592174835447,208,5,5
28.028415040581088,172.22968287248045,709,6,6
33.62006430826062,203.61686944946166,0,7,7
29.07456932198921,172.63265275468575,913,8,8
22.691405191557887,106.92105591177176,858,9,9
31.74778823837447,35.39808640805891,550,10,10
30.81690078934593,206.35801060927912,536,11,11
28.387012155742458,93.96478049669024,675,12,12
28.85032407215758,200.03681318201225,780,13,1
25.51486854420895,161.22551977517355,694,14,2
29.637662275843116,61.25383319518941,457,15,3
30.12993750449909,122.56491768063228,889,16,4
29.87241715973147,107.44915939657683,1156,17,5
25.97362773439457,113.3547121486749,988,18,6
30.59146756388264,118.48310774377383,655,19,7
29.552595234653772,77.3585527867633,119,20,8
32.590285024752305,44.871365254819544,832,21,9
28.597988472246108,66.37934945806153,849,22,10
27.040855129664045,89.59025282333647,692,23,11
25.77522737868895,72.89943777143559,556,24,12
27.290194319563067,90.77339374773834,1003,25,1
27.96441039930428,157.38845052711886,1166,26,2
25.414652127808008,151.90650360814277,309,27,3
31.155047426091045,41.47524829519014,302,28,4
27.416823654696294,34.48334524549169,1124,29,5
27.99483225353414,1.5172295020146436,748,30,6
27.838611703629688,172.59531301998464,524,31,7
28.07382873807367,85.27789709618875,30,32,8
27.649117621238126,142.26053436589825,832,33,9
27.43702524421822,97.33332404894273,772,34,10
27.293876484447722,158.47880006643933,541,35,11
29.105976717900887,160.81245808910006,56,36,12
31.214205309911815,189.4965762930969,0,37,1
26.909390433787543,142.89807614417552,493,38,2
26.072491865364213,21.805355512618448,443,39,3
26.016685797104564,98.71992119180524,605,40,4
27.38870603817971,24.165334256902817,634,41,5
32.64317332917753,73.1037534020282,1043,42,6
29.221804537945182,168.365244757546,1102,43,7
28.44703961395799,156.84586752825822,933,44,8
29.97962005108452,100.5834322478363,196,45,9
28.46290307737567,93.84030171478102,0,46,10
31.89633555291388,68.67178678524769,716,47,11
25.28414064881388,135.43968174166395,562,48,12
30.580169699623553,67.12960216988066,333,49,1
29.65316147776308,132.18967255687326,111,50,2
33.078423634531354,33.52891118042532,173,51,3
28.611681792690906,108.41668853813707,866,52,4
27.99573732475146,160.0092918432308,0,53,5
32.3931247611568,133.19028194226132,876,54,6
30.476455384365334,134.58770206243744,0,55,7
27.517605924936074,151.11619986845693,1087,56,8
28.33628669021479,75.30111097867352,892,57,9
30.356320032046217,204.9725320646261,1035,58,10
30.915664532751215,119.93216257789706,677,59,11
28.557548846652427,195.4952906211184,831,60,12
28.671528707083674,41.590860466249445,512,61,1
32.04426115958121,89.71585868415775,1235,62,2
26.704799385403653,143.76880963635963,374,63,3
28.191944139695064,126.94949545830028,581,64,4
28.391146162773392,106.2199524679911,628,65,5
29.15189272979588,71.36122330143246,0,66,6
25.638993155237134,17.08109551971163,270,67,7
31.333950831008668,26.01541002298412,437,68,8
29.477987088922927,78.8713285935876,1198,69,9
30.869124739576545,130.24078777865333,365,70,10
26.926672069616693,165.3151090388862,1094,71,11
30.208710456189916,117.71055928183162,708,72,12
32.5297279302691,106.84688323261831,1027,73,1
25.66687159554066,146.86680635881083,1128,74,2
34.24066265929006,167.96275527059436,640,75,3
27.685073582991354,195.9281181579886,494,76,4
27.849851665257628,177.69604167103637,16,77,5
29.35827633840951,94.28413244833459,711,78,6
28.532492540658417,194.45266976531337,0,79,7
28.64639665833611,141.65465641494097,251,80,8
30.14150421162579,179.45522652747533,0,81,9
27.09511008353675,61.09958023307763,0,82,10
32.49062848759567,43.18246890583467,1227,83,11
29.07524506768737,118.85495890241074,891,84,12
29.205500647949684,89.48635530898127,18,85,1
29.049308627971982,120.21203266149678,537,86,2
30.330013352672243,46.14816331609448,685,87,3
29.667662966736767,184.60816274711246,645,88,4
33.40255542375081,118.00446874581799,16,89,5
30.23427848556692,61.65492544256093,662,90,6
28.97041470445069,130.45669260688328,757,91,7
27.916387123340343,142.9491847970504,973,92,8
28.901563583954665,111.0948462698133,726,93,9
26.91816244571747,26.649140590223503,1062,94,10
28.550988642267452,196.14510117084285,113,95,11
29.25231184696323,84.69196820999589,1244,96,12
28.347498829297415,159.4445390864109,816,97,1
27.691682152480304,181.76023739116576,923,98,2
27.178037593361573,100.37641604045851,413,99,3
25.60261321996111,168.714089643151,320,100,4
29.495302182660144,189.34389699727382,1071,101,5
